Customer_ID,Customer_Name,Product,Quantity,Price
1,Amit,Mobile,2,20000
2,Priya,Laptop,1,55000
3,Rahul,Mobile,,18000
4,Neha,Headphones,3,3000
5,Ankit,Laptop,1,
6,Sunita,Mobile,2,22000
7,Sneha,Headphones,5,2500
8,Rohit,Tablet,1,30000
9,Kajal,Mobile,3,21000
10,Arjun,Laptop,1,60000
11,Pooja,Headphones,2,2800
12,Manish,Tablet,2,32000
13,Simran,Mobile,1,19000
14,Vikas,Laptop,1,58000
15,Nikita,Headphones,,2600
16,Sachin,Mobile,4,24000
17,Meena,Tablet,1,31000
18,Ashish,Laptop,2,110000
19,Reena,Mobile,2,20000
20,Deepak,Headphones,3,
21,Anjali,Tablet,1,29000
22,Varun,Mobile,5,26000
23,Ritu,Laptop,1,57000
24,Karan,Headphones,4,3200
25,Payal,Mobile,,23000
26,Mohit,Tablet,2,34000
27,Isha,Laptop,1,62000
28,Tarun,Mobile,3,21000
29,Komal,Headphones,2,2700
30,Naveen,Tablet,1,30000
